address,x,y,z
0,0.179875,0.9170642,0.0
1,0.119125,0.8492075,0.0
2,0.088750005,0.78323585,0.0
3,0.038124997,0.7266887,0.0
4,0.0077500003,0.64563775,0.0
5,0.0077500003,0.6022849,0.0
6,0.001,0.5287736,0.0
7,0.028,0.4703415,0.0
8,0.058374997,0.41379434,0.0
9,0.1225,0.3629019,0.0
10,0.18325,0.32143393,0.0
11,0.23725,0.26677167,0.0
12,0.287875,0.21776415,0.0
13,0.34862497,0.17064151,0.0
14,0.416125,0.13859811,0.0
15,0.49712497,0.10466982,0.0
16,0.551125,0.066971704,0.0
17,0.58487505,0.04058302,0.0
18,0.65575,0.001,0.0
19,0.68275,0.016079245,0.0
20,0.780625,0.0650868,0.0
21,0.814375,0.11597925,0.0
22,0.85487497,0.17064151,0.0
23,0.88862497,0.22907358,0.0
24,0.92575,0.28185093,0.0
25,0.95275,0.3421679,0.0
26,0.97975,0.39117548,0.0
27,0.99324995,0.39494526,0.0
28,1.0,0.5061547,0.0
29,0.969625,0.5551623,0.0
30,0.902125,0.60040003,0.0
31,0.838,0.62867355,0.0
32,0.767125,0.6720264,0.0
33,0.69624996,0.70972455,0.0
34,0.645625,0.77946603,0.0
35,0.65912503,0.7719264,0.0
36,0.65575,0.9001,0.0
37,0.64225,0.9717264,0.0
38,0.62875,1.0,0.0
39,0.524125,0.9962302,0.0
40,0.416125,0.9924604,0.0
41,0.31149998,0.9660717,0.0
42,0.132625,0.9453377,0.0
43,0.13599999,0.90575475,0.0
